仰ぐ,あおぐ,to look up; to respect
明かす,あかす,to stay up all night; to reveal
赤らむ,あからむ,to become red; to redden; to blush
欺く,あざむく,to deceive
嘲ける,あざける,to sneer at; to ridicule
褪せる,あせる,to fade; to discolor
値する,あたいする,to be worth; to deserve
誂える,あつらえる,to place an order
宛てる,あてる,to address
甘える,あまえる,to behave like a spoiled child
操る,あやつる,to handle; to manipulate
危ぶむ,あやぶむ,to fear; to be doubtful
誤る,あやまる,to make a mistake; to fail
歩む,あゆむ,to walk; to make progress
荒らす,あらす,to damage; to destroy
案じる,あんじる,to be anxious; to worry; to think out
生かす,いかす,to keep alive; to make use of
生ける,いける,to arrange (flowers)
弄る,いじる,to play with; to tamper with
傷める,いためる,to damage; to impair; to injure
炒める,いためる,to stir-fry
労る,いたわる,to pity; to sympathize with; to console
営む,いとなむ,to lead (a life); to run a business
挑む,いどむ,to challenge
受かる,うかる,to pass (an exam)
埋める,うめる,to bury; to fill up
俯く,うつむく,to drop one’s head
促す,うながす,to urge; to press; to demand
自惚れる,うぬぼれる,to be conceited
産む,うむ,to give birth to; to produce
潤う,うるおう,to be moistened; become prosperous
上回る,うわまわる,to be more than; to exceed
植わる,うわる,to be planted
演じる,えんじる,to perform; to play
演ずる,えんずる,to perform; to play
老いる,おいる,to age; to grow old
負う,おう,to bear; to carry on one’s back
遅らす,おくらす,to delay; to defer
怠る,おこたる,to neglect
おごる,おごる,"to treat (e.g., 「夕食を～」)"
収める,おさめる,to obtain; to keep
納める,おさめる,to pay; to deliver
治める,おさめる,to subdue; to rule
襲う,おそう,to attack
煽てる,おだてる,to instigate; to flatter
脅す,おどす,to threaten; to frighten
訪れる,おとずれる,to visit
衰える,おとろえる,to become weak; to decline
怯える,おびえる,to be frightened
脅かす,おどかす,to threaten; to frighten
帯びる,おびる,to wear; to be tinged with
赴く,おもむく,to go; to head for; to become
重んじる,おもんじる,to value; to think much of
及ぶ,およぶ,to reach; to amount to; to extend
及ぼす,およぼす,to harm; to damage
織る,おる,to weave
害する,おかす,to injure; to hurt
省みる,かえりみる,to reflect upon
顧みる,かえりみる,to look back; to pay attention to
掲げる,かかげる,to raise; to adopt; to publish
掻く,かく,to scratch
欠く,かく,to lack; to be missing; to be short of
"かく(e.g., 「恥を～」)",かく ,to cause embarrassment to
駆ける,かける,to run
賭ける,かける,to bet; to stake
嵩張る,かさばる,to be bulky
嵩む,かさむ,to run up; to increase; to accumulate
霞む,かすむ,to be hazy; to grow dim
掠する,かする,to graze; to exploit
傾ける,かたむける,to incline; to tilt; to devote oneself
叶う,かなう,to be fulfilled; to be realized
叶える,かなえる,to grant; to answer
庇う,かばう,to protect; to speak for
かぶれる,かぶれる,to get a rash; to be influenced by
構う,かまう,to care; to interfere; to entertain; to tease
構える,かまえる,to set up; to be prepared
絡む,からむ,to twine round; to be involved in
涸れる,かられる,to dry up
交わす,かわす,to dodge; to evade
飾る,かざる,to decorate
軋む,きしむ,to creak; to squeak
築く,きずく,to build; to construct
競う,きそう,to compete with
鍛える,きたえる,to forge; to train; to strengthen
来たる,きたる,next; (forth)coming
興じる,きょうじる,to have fun; amuse oneself
禁じる,きんじる,to forbid; to prohibit; to ban
潜る,もぐる,to pass under; to slip through; to dive
口ずさむ,くちずさむ,to sing to oneself; to hum a tune
朽ちる,くちる,to rot; to decay; to die in obscurity
覆す,くつがえす,to overturn; to capsize; to overthrow
蹴る,ける,to kick
貶す,けなす,to speak ill of
煙る,けむる,to smoke; to look dim
恋する,こいする,to fall in love with
心掛ける,こころがける,to keep in mind
志す,こころざす,to intend; to aspire
試みる,こころみる,to try; to attempt
拗れる,こじれる,to become complicated; grow worse
"濾す(e.g., 「水を～」)",こす ,to filter
拘る,こだわる,to stick to; to be particular about
誤魔化す,ごまかす,to cheat; to deceive; to evade
籠る,こもる,to seclude oneself; to be confined
凝らす,こらす,to concentrate
懲りる,こりる,to have had enough of; to learn a lesson
凝る,こる,to devote to; to stiffen; be particular about
遮る,さえぎる,to obstruct; to interrupt; to block
囀る,さえずる,to chirp; to sing; to chatter
"冴える (e.g., 「月/腕が～」)",さえる,"to be bright, clear; to be skilled"
栄える,さかえる,to prosper; to flourish
裂ける,さける,to split; to be torn; to tear
捧げる,ささげる,to lift up; to give; to offer; to devote
授ける,さずける,to grant; to bestow; to instruct
摩する,さする,to rub; to stroke
擦る,する,to rub; to stroke
定まる,さだまる,to be decided; to become peaceful
定める,さだめる,to establish; to decide; to determine
察する,さっする,to understand; to sympathize with
悟る,さとる,to realize; to understand; to sense
裁く,さばく,to judge; to settle
彷徨う,さまよう,to wander; to linger
"誘う(e.g., 「子供を～」)",さそう ,to kidnap
障る,さわる,to hinder; to affect; to hurt
強いる,しいる,to force; to compel
しくじる,しくじる,to fail
安らぐ,やすらぐ,to relax
鎮める,しずめる,to subside
慕う,したう,to yearn for; to adore; to follow a person
親しむ,したしむ,to make friends with; to enjoy
躾ける,しつける,to train; to discipline
萎びる,しおれる,to wither
凌ぐ,しのぐ,to endure; to shelter from; to exceed
染みる,しみる,to penetrate; to sting; to be deeply impressed
洒落る,しゃれる,to dress up; to be witty
準じる,じゅんじる,to treat similarly; according to
称する,しょうする,to name; to praise; to pretend
記す,しるす,to write down; to inscribe in one’s mind
据え付ける,すえつける,to install; to set; to fix
"据える(e.g., 「社長に～」)",すえる ,to put; to settle down
"掬う(e.g., ｢水を～｣)",すくう ,to scoop
"濯ぐ (e.g., 「口を～」)",すすぐ,to rinse; to wash
廃れる,すたれる,to become obsolete
清ます,すます,to clarify; to look serious; to look unconcerned
澄ます,すます,to clarify; to look serious; to look unconcerned
済ます,すます,to finish; to settle; to make do with
棲む,すむ,to live
擦る,する,to rub; to strike; to grind; to lose
擦れる,すれる,to rub; to be worn out; to be sophisticated
制する,せいする,to control; to restrain; to suppress
急かす,せかす,to hurry; to rush
添える,そえる,to attach; to add; to accompany
即する,そくする,to agree with; to be adapted to; based on
損なう,そこなう,to damage; to hurt; to ruin
聳える,そびえる,to tower; to rise; to soar
染まる,そまる,to be stained; to be tainted
背く,そむく,to disobey; to betray
染める,そめる,to dye; to blush; to start
逸らす,そらす,to bend backward
反る,そる,to bend; to be curved; to bend backward
題する,だいする,to entitle; to name
耐える,たえる,to stand up to; to endure
堪える,たえる,to bear; to endure; to be worth doing
絶える,たえる,to cease; to come to an end; to be cut off
高まる,たかまる,to rise; to win a reputation; to get excited
携わる,たずさわる,to participate in; to be concerned with
漂う,ただよう,to drift; to float
断つ,たつ,to give up; to break off; to cut; to wipe out
脱する,だっする,to escape from; to get out of
奉る,たてまつる,to offer; to present; to show respect
辿る,たどる,to follow; to trace
束ねる,たばねる,to bundle; to tie up
賜う,たまう,to deign to; to grant; to bestow on
賜わる,たまわる,to be granted; to be honored with
保つ,たもつ,to keep; to last; to preserve; to hold
弛む,たるむ,to get loose; to slacken; to become lazy
垂れる,たれる,to drop; to dangle; to hang down; to drip
違える,ちがえる,to make a mistake; to sprain; to change
費やす,ついやす,to spend; to consume; to waste
仕える,つかえる,to serve; to work under
司る,つかさどる,to govern; to supervise; to manage
尽きる,つきる,to be exhausted; to run out; to come to an end
接ぐ,つぐ,to join; to put together
継ぐ,つぐ,to inherit; to resume; to patch
尽くす,つくす,to exhaust; to devote oneself to
繕う,つくろう,to repair; to mend; to patch; to darn
告げる,つげる,to announce; to inform; to proclaim
突く,つく,to poke; to nudge; to find fault with
慎む,つつしむ,to refrain from; to be careful
勤まる,つとまる,to be fit (for a post)
抓る,つねる,to pinch
募る,つのる,to grow violent; to enlist; to gather
呟く,つぶやく,to murmur; to mutter
瞑る,つぶる,to close one’s eyes
摘む,つむ,to pick; to pinch
摘まむ,つまむ,to pick; to pinch
強まる,つよまる,to strengthen; to intensify
強める,つよめる,to strengthen; to intensify
連なる,つらなる,to stretch in a row; to attend
貫く,つらぬく,to go through; to attain; to carry through
連ねる,つらねる,to link; to join; to line up
手掛ける,てがける,to handle; to take care of
徹する,てっする,to put one’s heart into; all night
照り返す,てりかえす,to reflect
転じる,てんじる,to change; to alter; to move to
転ずる,てんずる,to be changed; to be transferred
問い合わせる,といあわせる,to inquire
尊ぶ,とうとぶ,to respect; to honor; to value
遠ざかる,とおざかる,to go away; to become estranged
咎める,とがめる,to blame; to question; to feel guilty
途切れる,とぎれる,to come to an end; to be interrupted
説く,とく,to explain; to advocate; to preach
研ぐ,とぐ,to grind; to sharpen; to polish
遂げる,とげる,to accomplish; to fulfill; to attain
綴じる,とじる,to bind; to file; to sew up
途絶える,とだえる,to stop; to cease; to be interrupted
滞る,とどこおる,to be delayed; to be overdue
唱える,となえる,to recite; to chant; to advocate; to shout
惚ける,とぼける,to pretend not to know; to be silly
富む,とむ,to be wealthy; to be rich in
蕩ける,とろける,to melt; to dissolve; to be fascinated
度忘れする,どわすれする,to forget; to slip from one’s memory
嘆く,なげく,to lament; to grieve; to deplore; to regret
馴染む,なじむ,to get used to; to fit
詰める,つめる,to rebuke; to blame
懐く,なつく,to take to; to be tamed
名付ける,なづける,to name
嘗める,なめる,to lick; to taste; to despise; to burn up
慣らす,ならす,to accustom to
成り立つ,なりたつ,to be concluded; to consist of
似通う,にかよう,to resemble
賑わう,にぎわう,"to be crowded; to be bustling, prosperous"
滲む,にじむ,to blot; to be blurred; to ooze out
担う,になう,to carry on one’s shoulder; to bear
鈍る,にぶる,"to become dull, blunt, to be weakened"
抜かす,ぬかす,to omit; to leave out; to skip
捩れる,ねじれる,to be twisted; to be distorted
妬む,ねたむ,to be jealous; to envy
ねだる,ねだる,to coax out of a person
粘る,ねばる,to be sticky; to stick to; to persist
練る,ねる,to knead; to temper; to polish; to train
逃がす,にがす,to set free; to let go
逃れる,のがれる,to escape; to get away; to avoid
臨む,のぞむ,to want; to desire; to hope; to overlook
乗っ取る,のっとる,to take over; to hijack
罵る,ののしる,to abuse; to scold; to curse
映える,はえる,"to glow, to shine; to look attractive"
捗る,はかどる,"to make good progress, to get along"
諮る,はかる,to consult with
図る,はかる,to plan; to attempt
剥ぐ,はぐ,"to tear off, to strip; to peel"
励ます,はげます,"to encourage, to cheer up"
励む,はげむ,"to work hard, to endeavor"
剝げる・禿げる,はげる,to peel off
化ける,ばける,to turn into; to disguise oneself
弾く →「水を～」,はじく,to flip; to flick; to repel; to shed
恥じらう,はじらう,"to be shy, to blush"
恥じる,はじる,to be ashamed; to blush
弾む,はずむ,to bounce; to be in high spirits
叩く,たたく,"to dust, to slap"
果たす,はたす,"to achieve, to accomplish; to realize"
果てる,はてる,to come to an end; to die
ばてる,ばてる,to be tired to death
阻む,はばむ,to prevent; to hinder; to oppose
嵌まる,はまる,to fit into; to fall into
生やす,はやす,to grow
早める,はやめる,to advance
速める,はやめる,to quicken; to speed up; to accelerate
ばら撒く,ばらまく,to scatter
腫れる,はれる,to swell; to become swollen
控える,ひかえる,to refrain from; to wait
率いる,ひきいる,to lead; to conduct; to command
歪む,ゆがむ,"to be distorted, to be strained"
浸す,ひたす,to soak; to dip
秘める,ひめる,to keep to oneself; to hide
冷やかす,ひやかす,to tease; to make fun of
深まる,ふかまる,to deepen
深める,ふかめる,to deepen
膨れる,ふくれる,to swell out; to expand; to bulge
耽ける,ふける,to indulge in; to be addicted to
老ける,ふける,to grow old
踏まえる,ふまえる,to stand on; to be based on
震わせる,ふるわせる,to shake; to tremble
隔たる,へだたる,to be distant from; to be estranged
謙る,へりくだる,to be humble
経る,へる,"to pass through, to go through"
報じる,ほうじる,"to report, to inform; to notify"
報ずる,ほうずる,"to report, to inform; to requite"
葬むる,ほうむる,"to bury, to hush up"
惚ける,ぼける,to grow senile; to shade off; to fade
誇る,ほこる,to boast; to be proud of
綻びる,ほころびる,to be ripped; to bloom
解ける,ほどける,to get loose; to be solved; to be cleared
施す,ほどこす,to give; to do; to perform
ぼやく,ぼやく,to complain
ぼやける,ぼやける,to grow dim; to get blurred; to fade
滅びる,ほろびる,to fall; to be ruined; to perish
滅ぼす,ほろぼす,to ruin; to destroy
舞う,まう,to dance; to flutter
任す,まかす,to entrust to; to leave to
負かす,まかす,to beat; to defeat
賄う,まかなう,to provide with food; to cover expenses
紛れる,まぎれる,to be confused; to be diverted
まごつく,まごつく,to be confused; to be at a loss
勝る,まさる,to be better; to be superior
交える,まじえる,to mix; to include; to cross; to exchange
交わる,まじわる,to associate with; to cross; to intersect
跨る→「馬に～」,またがる,to mount; to sit astride; to extend over
待ち望む,まちのぞむ,to look forward to; to wait for
免れる,まぬがれる,to escape; to get rid of; to avoid; to evade
丸める,まるめる,to make round; to draw to one’s side
見せびらかす,みせびらかす,to show off; to display
満たす,みたす,to fill up; to satisfy
導く,みちびく,to lead; to guide; to conduct
見なす,みなす,to regard; to think of; to consider
毟る,むしる,to pluck; to pick; to pull off
群がる,むらがる,to cluster; to crowd
恵む,めぐむ,to give (in charity)
捲くる,まくる,to turn over; to pull off
目覚める,めざめる,to wake up; to awaken
召す,めす,to call; to send for; to wear; to take a bath; to ride in; to eat; to drink
面する,めんする,to face; to look out
設ける,もうける,to prepare; to arrange; to establish
申入れる,もうしいれる,to make a proposition; to offer
申出る,もうしでる,to offer; to propose; to request
もがく,もがく,to struggle; to be impatient
